vhskala,glad,alder,aarsuddannelse,kvinde,barnhjemme,menneskeligforandring,religioes,godthelbred,klimafrygt
0,5,34,21,1,0,1,0,3,15
1,5,52,16,0,0,1,0,3,14
5,8,68,13,1,0,1,0,3,15
5,5,20,13,1,0,1,1,5,11
4,7,52,8,1,1,1,1,4,2
5,9,44,17,1,1,1,1,4,14
5,9,22,14,1,0,0,0,5,10
5,8,41,16,1,1,0,1,4,12
5,8,57,9,1,0,1,1,4,2
8,7,61,11,0,0,1,0,4,14
5,8,31,12,1,1,1,1,4,14
6,7,28,12,0,0,1,1,5,9
7,2,51,12,0,0,1,0,4,12
7,8,47,20,0,1,1,1,5,5
10,8,45,12,0,1,0,0,4,12
5,10,46,12,1,0,1,1,5,16
5,8,46,18,1,1,1,0,5,18
3,8,55,13,1,1,1,0,2,19
5,8,39,12,1,0,1,1,4,9
4,8,42,14,0,1,1,1,3,15
5,8,65,12,1,0,1,1,4,16
4,9,56,12,0,1,1,0,3,15
0,9,75,8,1,1,1,1,3,11
4,8,76,12,0,0,1,1,4,10
5,8,59,11,1,1,1,1,4,12
0,9,64,13,1,1,1,0,4,13
9,7,31,13,0,0,0,1,5,9
2,9,26,12,1,0,1,0,5,12
6,8,23,13,1,0,1,1,5,8
3,10,61,20,1,0,1,0,4,16
4,8,28,22,1,0,1,0,4,16
10,0,49,9,0,0,1,0,1,5
9,10,21,12,1,0,0,0,5,8
4,8,27,12,1,0,1,1,5,7
6,6,65,4,1,0,0,1,2,10
5,8,49,15,1,1,0,1,4,7
2,9,55,14,1,0,1,0,4,13
0,5,62,8,1,0,1,0,2,19
5,5,73,13,1,0,1,1,3,14
7,7,27,12,0,0,1,0,4,9
5,7,52,12,1,0,1,1,4,9
3,7,23,17,0,0,0,1,4,5
1,9,35,18,0,1,1,1,4,8
10,9,31,9,1,1,1,0,5,12
3,4,39,5,1,0,1,0,4,1
4,10,77,17,1,0,1,0,2,11
2,4,63,12,1,1,0,1,4,11
5,10,67,11,1,1,1,0,5,19
5,5,49,14,0,1,1,1,4,11
9,8,60,9,1,0,1,1,4,15
2,10,51,16,1,1,1,0,5,13
4,9,49,11,0,1,1,1,3,13
4,7,46,12,1,1,0,1,3,11
5,7,19,11,1,0,1,1,4,12
5,10,38,13,1,1,1,0,5,7
3,10,31,12,1,1,1,0,5,15
3,5,25,16,1,1,1,0,3,17
4,8,65,10,1,1,1,1,3,18
4,7,57,15,1,0,1,1,4,15
5,5,48,16,1,1,1,0,3,15
5,7,45,13,1,0,1,1,4,11
6,5,74,12,0,0,1,1,4,10
8,4,48,12,1,0,1,1,5,12
5,8,19,12,0,0,1,1,4,12
10,6,40,12,1,1,1,1,4,16
5,7,29,20,0,0,1,1,4,13
3,2,54,12,0,0,0,0,5,8
7,9,34,12,0,1,1,0,5,8
7,10,64,12,1,0,0,1,3,15
2,9,54,13,0,1,1,1,5,15
4,10,26,19,0,0,1,0,5,12
6,3,53,11,1,0,1,1,2,17
4,10,55,12,1,0,1,1,5,19
5,10,75,4,0,0,0,0,5,9
5,9,36,13,1,0,0,0,4,4
2,0,48,8,0,0,1,0,3,10
3,8,69,11,1,0,1,0,3,13
6,8,47,12,0,1,1,1,4,10
6,8,67,14,0,0,1,1,4,7
5,8,55,12,1,0,1,1,4,12
4,5,63,16,1,0,1,1,4,16
5,7,58,9,1,1,1,0,3,11
6,10,52,16,1,0,1,0,4,10
9,10,60,13,1,0,1,1,5,11
7,7,58,12,0,0,0,0,3,10
7,8,76,13,0,0,1,0,4,8
3,9,20,14,0,0,1,0,5,16
5,8,26,12,0,0,1,0,5,10
5,9,26,12,1,1,1,1,5,14
2,8,65,15,0,0,1,0,4,10
6,8,30,16,1,1,1,0,4,15
9,8,74,12,0,0,0,1,4,4
5,8,38,12,1,1,1,0,5,9
5,7,24,9,1,1,1,1,4,10
5,8,22,12,0,0,1,1,4,15
5,9,60,12,0,0,1,0,3,17
4,8,61,22,0,0,1,0,4,10
1,9,63,12,0,0,1,1,3,11
4,6,60,17,0,0,1,1,4,14
4,9,24,13,1,1,0,1,5,5
6,8,75,8,1,1,1,1,3,6
4,9,58,20,0,0,1,0,3,11
6,6,43,14,1,1,1,1,4,15
4,9,34,13,1,1,1,0,5,6
5,5,25,12,1,0,1,1,5,9
5,8,29,12,1,1,1,1,5,8
6,8,67,12,0,0,1,1,4,12
3,8,29,18,1,0,1,1,4,12
2,8,55,14,1,1,1,0,4,14
2,6,41,12,1,1,1,1,4,9
5,7,23,13,1,0,1,1,5,13
5,9,56,16,1,0,0,1,3,6
5,10,17,11,0,0,1,0,5,8
5,8,78,8,1,0,1,1,5,9
6,3,46,9,1,0,1,0,3,1
5,5,25,12,1,0,1,0,5,8
6,8,58,12,1,0,1,0,5,11
3,8,52,12,1,0,1,0,4,19
4,10,33,13,0,1,1,1,5,9
0,7,25,12,0,0,1,1,5,10
5,7,55,17,0,1,1,0,4,11
1,9,22,16,1,0,1,0,4,19
4,8,36,12,1,1,1,1,4,4
0,10,37,12,1,1,1,0,5,14
5,9,64,11,0,0,1,1,4,12
4,8,37,12,1,1,1,1,5,9
5,10,49,12,0,1,1,1,3,14
6,7,72,12,0,0,1,1,3,10
4,10,44,12,0,1,1,0,4,4
4,8,70,11,1,0,1,1,3,13
4,8,37,16,0,1,1,1,5,15
6,9,27,13,1,0,1,1,5,16
6,8,29,12,1,1,1,1,4,10
5,8,43,12,0,0,1,1,3,11
7,8,30,13,0,1,1,1,4,5
5,8,63,13,1,0,1,0,4,12
3,7,21,11,0,0,1,1,5,9
9,6,20,12,1,0,1,1,4,11
8,8,58,13,0,0,1,1,4,10
2,9,26,12,0,0,1,0,5,16
5,9,37,13,0,1,1,1,4,16
5,9,52,12,1,0,1,0,5,16
5,9,83,11,0,0,1,1,4,13
3,7,30,16,1,0,1,1,4,11
5,8,55,14,1,0,1,0,5,12
3,9,65,13,1,0,1,1,1,17
6,8,61,12,1,0,1,1,4,11
6,10,54,16,1,1,1,1,5,17
1,8,24,12,0,0,1,1,5,11
3,7,23,13,0,0,1,0,5,11
3,8,41,14,1,0,0,0,3,13
8,7,58,12,1,0,1,0,4,12
10,7,59,15,1,0,1,0,4,16
5,8,69,12,0,0,1,1,3,12
7,6,63,12,0,1,0,1,3,11
0,9,49,16,1,1,0,0,4,4
5,8,56,11,1,0,1,1,3,12
6,10,43,16,1,1,1,0,4,16
8,8,60,12,0,0,1,1,3,18
5,10,28,13,1,0,1,0,3,17
5,6,52,16,0,1,1,1,3,11
4,8,65,11,1,1,1,1,4,5
4,7,60,14,1,0,1,1,3,8
5,6,72,11,0,0,1,1,3,9
8,6,29,15,0,0,1,1,3,11
6,9,50,10,1,1,1,1,4,12
7,9,60,12,0,0,1,0,4,7
4,6,81,8,1,0,1,1,3,9
0,7,24,13,1,0,1,0,5,13
7,5,26,12,0,0,1,0,3,10
1,9,21,15,1,0,1,0,5,17
8,8,66,12,0,0,0,0,3,4
5,6,44,12,1,0,1,1,4,12
5,7,72,12,0,0,1,0,3,11
8,10,61,12,1,0,1,1,3,9
1,9,34,13,0,0,1,0,5,14
1,9,28,16,1,0,1,1,5,15
3,9,40,16,0,1,1,0,5,13
9,6,45,12,0,1,1,1,4,14
6,8,51,17,0,1,0,1,4,13
6,10,44,15,1,1,1,1,5,10
5,7,76,9,0,0,1,1,3,6
2,9,23,14,0,0,1,0,5,7
5,4,59,14,0,0,1,1,4,9
8,10,27,14,1,1,1,0,4,12
5,2,72,11,1,0,1,0,2,15
6,9,50,13,1,0,0,1,3,11
3,7,27,21,1,0,1,0,5,16
5,7,48,15,0,1,1,1,4,12
5,10,65,15,0,0,1,1,4,8
8,7,38,12,1,1,1,0,4,5
5,8,77,17,1,0,1,1,3,19
4,7,46,14,1,1,1,1,4,13
3,6,52,12,0,0,1,0,5,15
5,8,20,14,0,1,1,0,4,10
2,8,71,11,1,0,0,0,3,9
5,10,60,4,0,0,0,1,4,1
4,8,41,18,1,1,1,1,5,12
5,9,28,9,1,1,0,1,5,9
7,7,47,12,0,1,1,1,3,7
2,6,49,13,0,0,1,1,4,18
5,9,80,10,0,0,1,1,4,12
5,9,87,8,1,0,0,1,3,12
6,7,28,16,0,0,1,1,5,13
4,8,64,12,1,1,1,0,4,17
3,10,33,17,1,1,0,1,4,13
4,8,53,12,1,0,0,1,5,5
5,10,38,11,1,1,1,0,4,13
5,7,65,11,1,0,1,1,3,11
5,10,69,12,0,0,1,1,5,5
4,9,17,10,1,0,1,1,5,17
5,7,69,12,0,0,1,1,3,11
3,7,55,11,1,0,1,1,5,15
4,7,35,18,0,1,1,0,4,15
10,9,36,13,1,1,1,1,4,6
5,4,74,5,1,0,0,0,5,7
4,7,39,14,1,1,1,1,4,12
7,9,59,12,1,0,1,1,4,15
5,9,57,11,0,1,1,0,3,16
5,10,73,11,1,0,1,0,2,14
1,6,63,8,0,0,1,1,3,10
0,2,59,12,0,0,1,1,5,16
4,7,33,14,0,0,0,1,5,7
8,7,49,9,1,0,1,0,4,4
6,9,30,17,0,1,1,0,5,13
4,5,42,21,1,1,1,1,4,18
6,3,39,12,1,1,0,1,5,2
5,8,55,14,0,1,1,0,4,15
5,8,29,12,1,1,1,0,4,13
9,6,75,11,0,0,1,0,5,10
5,2,72,8,0,0,0,1,2,5
7,5,51,14,1,1,1,0,3,12
5,8,25,12,0,0,1,1,5,10
5,7,26,14,1,0,1,0,4,7
1,9,41,18,1,1,1,1,5,9
7,10,20,12,1,0,1,0,4,7
4,8,37,15,1,1,1,1,5,11
5,9,49,12,1,1,1,1,4,13
4,9,67,10,1,0,1,1,4,14
5,8,50,12,1,1,1,1,4,12
4,5,72,11,1,0,1,0,3,18
7,9,45,12,0,1,1,0,4,10
4,4,41,12,0,0,1,1,3,12
5,8,24,14,0,0,1,1,4,10
5,8,27,12,1,0,1,0,5,10
6,4,42,8,1,0,1,0,2,11
7,5,51,13,0,0,1,1,3,2
5,9,39,13,1,1,1,1,5,7
5,6,47,14,0,1,1,1,2,13
9,9,65,12,0,0,0,0,4,10
3,9,51,13,0,0,1,0,5,4
5,8,38,16,0,0,1,1,5,16
6,9,65,12,0,0,1,1,3,14
5,8,71,12,1,0,1,0,4,6
5,7,27,12,1,1,1,0,4,11
6,8,42,17,0,0,1,1,5,10
0,5,27,21,1,0,1,0,3,19
5,10,24,17,0,0,1,0,4,16
5,7,48,12,0,0,1,1,5,2
0,10,34,13,0,1,1,1,5,13
5,8,39,12,0,1,1,0,4,13
3,10,42,17,1,1,1,1,5,8
0,9,55,20,0,1,1,0,4,16
2,7,18,10,1,0,1,1,5,12
5,9,56,12,1,1,1,1,3,11
5,4,36,17,1,0,1,0,4,9
5,8,77,12,1,0,1,0,1,9
5,9,61,11,1,0,1,0,4,12
5,7,28,11,1,1,1,0,5,10
3,5,77,11,0,0,1,1,3,12
5,9,28,12,0,1,1,0,5,1
8,5,59,12,0,0,1,1,5,17
5,7,51,12,0,0,1,0,3,11
3,9,23,13,1,0,1,0,5,19
6,9,20,12,1,0,1,1,3,13
9,8,30,14,1,0,1,1,5,8
4,8,44,15,1,0,1,0,4,14
3,9,30,14,0,0,1,0,5,15
10,0,30,13,0,0,1,0,5,11
7,8,28,16,1,0,0,1,3,11
1,9,30,18,1,0,1,0,5,19
4,6,29,14,1,1,1,0,4,15
5,9,53,12,0,0,0,1,4,11
5,7,25,12,0,0,1,0,5,1
3,7,55,9,0,0,1,0,3,10
1,9,52,13,1,1,1,1,5,17
5,5,25,14,0,0,1,0,5,8
6,8,71,12,0,0,1,1,3,10
6,9,65,17,0,0,1,1,4,18
6,7,40,12,1,1,1,1,4,12
4,7,54,13,1,1,1,1,4,12
2,7,63,12,0,0,1,0,4,15
3,7,27,15,0,0,1,0,4,11
7,6,35,13,1,1,1,0,3,15
3,8,70,15,1,1,1,0,4,4
5,5,43,13,1,1,1,1,4,11
5,7,72,11,0,0,0,1,3,13
10,6,54,13,1,0,1,1,4,10
6,9,37,12,0,0,1,1,5,12
5,9,80,8,1,0,1,1,4,13
5,7,67,12,1,0,1,1,3,12
5,9,45,12,1,1,1,0,5,9
5,9,36,9,1,1,0,1,4,5
6,10,44,16,1,1,1,1,4,15
3,9,75,18,0,0,1,0,4,18
7,9,56,17,1,0,1,0,5,11
5,6,16,9,1,0,1,0,2,12
8,8,54,13,0,0,0,1,3,12
7,3,31,12,1,0,1,0,4,10
5,8,25,11,0,0,1,0,4,17
6,9,45,14,0,0,1,1,4,12
2,4,23,16,1,0,1,1,4,14
4,9,30,12,0,0,1,1,5,10
0,10,46,17,0,0,1,1,4,16
5,5,52,12,1,0,1,0,3,18
8,8,70,18,0,0,1,0,4,12
5,7,50,12,0,1,1,1,4,15
3,5,25,7,1,1,0,1,4,3
3,8,59,13,1,0,1,0,4,16
4,9,52,19,0,1,1,1,5,14
7,7,59,12,0,0,1,1,4,14
4,6,54,5,1,0,0,1,3,5
3,10,59,19,1,0,1,0,4,17
5,5,31,16,0,0,1,1,4,11
6,7,56,17,1,0,1,1,4,8
5,9,48,15,1,0,1,0,5,10
10,8,61,12,0,0,1,1,4,5
7,9,67,16,0,0,1,0,3,16
0,5,57,18,0,1,1,0,3,9
5,7,72,14,1,0,1,1,3,11
6,8,76,8,1,0,1,1,2,10
5,8,19,12,1,1,1,0,5,13
7,9,74,8,1,0,1,1,3,4
4,4,30,16,0,0,1,0,5,13
10,8,49,16,0,0,1,1,4,18
4,7,62,12,1,0,1,1,3,18
5,9,62,12,1,0,0,0,3,13
4,8,42,13,1,1,0,1,4,12
4,9,56,12,0,1,1,1,4,12
4,9,64,12,1,0,1,1,4,12
7,10,46,12,0,1,1,1,5,13
4,8,24,15,0,0,0,0,5,8
4,8,38,12,1,1,1,1,5,13
5,9,51,11,1,1,1,0,3,11
5,7,54,11,1,1,1,0,3,11
5,8,73,10,1,0,1,1,3,10
5,10,59,14,1,0,1,1,3,9
5,9,30,13,0,0,1,1,5,10
5,6,35,13,0,0,1,0,3,11
2,4,84,11,0,0,1,1,4,10
6,8,40,12,0,0,1,1,5,13
5,7,52,10,1,0,1,1,4,11
7,8,46,15,1,1,1,1,4,6
5,4,66,12,0,0,1,0,4,14
4,7,56,12,0,0,1,0,5,12
5,8,67,11,1,1,0,1,4,10
4,9,45,14,1,0,1,0,4,16
4,6,60,12,0,0,1,1,4,12
7,3,30,13,0,0,1,1,5,8
2,9,54,12,1,0,1,1,3,15
4,10,28,14,0,1,1,0,5,15
4,8,64,11,1,0,1,1,3,16
10,9,54,9,1,0,1,0,4,8
5,7,65,12,1,0,1,0,3,8
1,10,19,12,1,0,1,0,5,14
5,9,16,13,1,1,1,1,5,18
5,9,51,13,1,0,1,1,3,14
4,9,48,25,1,0,1,1,4,10
5,8,60,12,1,0,1,0,4,11
4,8,64,11,1,0,1,0,4,13
8,9,34,12,0,0,0,1,4,11
6,0,71,11,0,0,0,1,3,10
4,8,40,13,1,0,1,1,4,14
5,6,64,14,0,0,1,0,4,12
5,8,64,12,1,0,1,1,3,11
5,10,80,19,0,0,0,1,4,5
5,8,62,11,1,0,1,1,4,18
4,6,63,11,1,1,1,1,3,14
7,7,29,12,0,0,1,0,5,13
5,6,63,11,1,0,1,1,5,11
2,8,24,17,0,0,1,0,4,19
0,9,58,19,0,0,1,0,5,18
8,8,46,12,0,0,0,0,4,1
2,7,61,13,0,0,1,0,4,13
2,6,19,12,1,1,1,0,5,14
8,8,58,13,1,0,1,0,5,16
5,9,69,12,1,0,1,1,3,12
4,10,22,14,0,0,1,0,5,10
4,6,52,15,0,1,1,0,3,12
5,8,53,16,0,1,1,1,4,7
10,10,45,15,1,1,1,1,3,14
2,8,20,9,1,0,1,1,4,16
5,6,18,11,0,0,1,0,4,13
2,8,47,12,1,0,1,0,4,16
6,7,66,12,1,0,1,1,3,8
5,8,61,13,1,0,1,0,4,11
2,9,63,4,0,0,1,0,3,8
5,9,38,15,0,1,1,0,4,10
