raw,alder,helbred,druk,underudd,køn,boralene,udd,blob
.34887171,27,4,4,2,1,0,,.20661108
.2668857,70,3,4,2,1,0,4,.31731644
.1366463,45,4,5,2,2,0,5,.46571541
.028556867,69,3,4,2,2,0,2,.58248979
.86893326,72,3,,2,2,1,6,.50917673
.3508549,54,4,5,2,2,0,4,.5226804
.071105093,73,5,4,2,1,0,4,.66100788
.32336795,66,4,5,2,2,0,5,.70254129
.55510318,41,4,3,2,2,0,2,.41707203
.87599099,37,3,3,2,1,0,4,.71804768
.20470947,62,4,4,2,2,1,4,.060477771
.89275867,68,5,5,2,2,0,2,.89225066
.5844658,70,3,,2,2,1,4,.92773432
.36977914,69,3,,2,2,0,4,.63897604
.85063088,53,3,4,2,2,0,2,.2976636
.39138186,76,3,5,2,2,0,4,.5186817
.11966132,81,3,,2,1,0,2,.78218538
.75424343,38,2,,2,2,0,2,.0152606
.69502336,64,3,4,2,2,1,4,.67738605
.68661523,39,3,2,2,2,1,,.42082387
.9319346,52,3,5,2,2,0,6,.61622578
.45488819,87,3,,2,2,0,6,.5822764
.067401104,86,3,5,2,2,0,4,.7941103
.33798888,44,2,3,2,1,0,2,.24592762
.97488481,36,2,4,2,1,0,6,.46618468
.7264384,53,2,4,1,2,0,1,.048168212
.045415118,70,2,4,2,1,0,7,.38386682
.74596667,68,2,5,2,2,0,4,.97395486
.49612591,78,2,3,2,1,0,6,.36378336
.71671617,74,2,5,2,2,0,2,.042756837
.85974205,58,3,3,1,1,0,1,.28357407
.13407555,75,3,4,2,1,1,2,.23225166
.48844185,63,3,4,2,2,0,4,.46768165
.87121874,73,3,4,2,1,0,4,.8162657
.76646835,50,1,,,1,0,,.10465529
.25125554,48,1,4,2,1,0,4,.33870003
.16636477,51,1,4,2,2,0,4,.53307348
.74379581,52,1,4,2,2,0,4,.23206225
.98051131,43,1,,1,2,0,1,.76037365
.72957718,75,1,2,2,2,1,2,.21892808
.90110493,71,1,5,2,2,0,6,.70707923
.26436493,66,1,4,2,2,0,6,.88998121
.88565093,78,1,4,2,1,0,2,.69980413
.88211203,57,3,4,2,2,0,4,.42101872
.74893296,46,2,4,2,2,0,6,.16568922
.91962624,26,2,3,,1,0,,.079179704
.69345325,67,2,4,2,2,0,2,.68674451
.21540259,62,1,4,2,1,0,4,.63602459
.82858884,70,2,4,2,1,0,6,.55432218
.044215355,65,3,4,2,1,0,2,.0913352
.86303777,71,5,4,2,1,0,5,.15285715
.35260457,23,1,3,,2,0,2,.42939663
.77203995,73,2,5,2,2,0,5,.09470538
.58611989,68,3,3,2,1,0,4,.40656
.32277662,72,3,5,2,2,1,2,.38287774
.17293066,55,3,3,2,1,0,2,.90643704
.80536443,90,3,4,,2,1,2,.98086303
.3060019,78,2,4,2,1,0,7,.093934536
.21909967,49,3,4,2,2,0,4,.82333142
.72473097,42,4,5,2,2,0,3,.33626792
.69648665,63,3,4,2,2,1,2,.31070489
.91193444,46,3,4,2,2,0,6,.065492094
.6795634,59,3,2,2,1,0,2,.40617931
.35494158,67,3,4,2,2,1,2,.08619424
.73897004,17,2,4,1,2,0,1,.22426355
.18740167,30,2,4,2,1,0,5,.090689406
.31461281,52,2,,,1,0,,.10045121
.13756929,47,2,4,2,2,0,4,.47589892
.6537739,51,2,5,2,2,0,4,.77075064
.27013195,51,2,4,2,2,0,2,.75744998
.8998394,61,2,4,2,1,0,2,.73729795
.57342321,61,2,2,2,1,0,5,.0070836074
.11147037,76,2,4,2,1,1,2,.1842234
.41452268,68,2,,2,1,0,2,.25967672
.0030522037,71,2,5,2,2,1,6,.4150205
.6659978,73,2,,,1,0,,.51790357
.34628758,29,1,4,1,2,0,1,.68015075
.078023493,67,1,5,2,2,1,4,.84472352
.12758136,66,3,,2,1,1,6,.11707105
.22970058,37,2,,,2,0,,.15075876
.32955468,73,3,4,2,2,1,4,.23995052
.41440889,17,2,2,1,1,0,1,.40813327
.036084738,63,2,4,2,2,0,4,.70766199
.084381089,79,2,5,2,2,1,4,.57754534
.0098762466,67,3,4,2,1,1,2,.5079565
.32004371,81,3,4,2,1,0,5,.77635753
.0051969658,57,3,4,2,1,0,4,.02264479
.22754347,22,2,,,1,0,,.58443344
.85146797,75,3,5,2,2,1,6,.45382902
.98200661,79,3,,2,2,1,4,.27768007
.032479186,65,2,,2,2,0,2,.41721854
.98748469,81,3,5,2,1,0,6,.0061441865
.89410603,85,3,4,2,1,0,5,.98809671
.96847343,60,3,3,2,1,1,2,.80520332
.23922028,66,1,5,2,2,0,2,.53193223
.69273365,51,2,3,2,2,0,4,.66046321
.48843586,76,2,4,,1,0,,.52812862
